Trust Code,Trust Category,Trust Type,Region,Trust Name,March 2009,April 2009,May 2009,June 2009,July 2009,August 2009,September 2009,October 2009,November 2009,December 2009,January 2010,February 2010,March 2010,Trust Name
REM,M,FT,North West,Aintree University Hospitals,1,2,3,1,1,3,3,0,0,0,3,0,2,Aintree University Hospitals
RCF,S,--,Yorkshire & the Humber,Airedale,0,0,1,1,1,0,0,0,0,2,1,0,1,Airedale
RBS,Sp(c),FT,North West,Alder Hey Children's,1,1,1,0,0,0,0,0,1,1,0,0,1,Alder Hey Children's
RTK,M,--,South East,Ashford & St Peter's Hospitals,2,0,1,0,0,1,4,0,1,1,0,0,1,Ashford & St Peter's Hospitals
RF4,L,--,London,"Barking, Havering & Redbridge Hospitals",1,2,4,3,2,2,4,1,5,2,6,4,4,"Barking, Havering & Redbridge Hospitals"
RVL,L,--,London,Barnet & Chase Farm Hospitals,1,2,1,0,3,1,2,2,0,1,1,3,0,Barnet & Chase Farm Hospitals
RFF,S,FT,Yorkshire & the Humber,Barnsley Hospital,0,0,0,0,0,0,1,1,0,0,0,0,0,Barnsley Hospital
RNJ,T,--,London,Barts & the London,2,0,0,7,2,3,3,5,1,2,1,1,3,Barts & the London
RDD,M,FT,East of England,Basildon & Thurrock University Hospitals,2,1,0,0,0,0,0,1,0,2,0,0,2,Basildon & Thurrock University Hospitals
RN5,M,FT,South East,Basingstoke & North Hampshire,0,0,1,0,0,0,1,0,0,1,0,0,1,Basingstoke & North Hampshire
,,,,,,,,,,,,,,,,,,
RC1,S,--,East of England,Bedford Hospital,0,0,0,0,2,1,0,0,0,1,1,0,0,Bedford Hospital
RQ3,Sp(c),FT,West Midlands,Birmingham Children's Hospital,0,2,1,0,0,0,0,0,0,0,0,0,0,Birmingham Children's Hospital
RLU,Sp,FT,West Midlands,Birmingham Women's,0,0,0,0,0,0,0,0,0,0,0,0,0,Birmingham Women's
RXL,L,FT,North West,"Blackpool, Fylde & Wyre Hospitals",1,1,0,1,0,0,1,1,1,0,1,1,1,"Blackpool, Fylde & Wyre Hospitals"
RAE,L,FT,Yorkshire & the Humber,Bradford Teaching Hospitals,4,1,1,1,1,0,2,0,0,1,1,1,0,Bradford Teaching Hospitals
,,,,,,,,,,,,,,,,,,
RXH,T,--,South East,Brighton & Sussex University Hospitals,6,4,3,3,2,3,2,2,1,1,1,3,2,Brighton & Sussex University Hospitals
RXQ,M,--,South East,Buckinghamshire Hospitals,0,0,1,0,0,6,1,1,1,1,0,0,1,Buckinghamshire Hospitals
RJF,S,FT,West Midlands,Burton Hospitals,1,1,2,0,0,2,1,1,0,0,1,1,1,Burton Hospitals
RWY,L,FT,Yorkshire & the Humber,Calderdale & Huddersfield,2,0,2,1,2,2,0,1,0,3,2,1,2,Calderdale & Huddersfield
RGT,T,FT,East of England,Cambridge University Hospitals,4,1,3,3,3,1,0,3,2,1,1,1,1,Cambridge University Hospitals
,,,,,,,,,,,,,,,,,,
RW3,T,FT,North West,Central Manchester University Hospitals,0,0,0,0,0,1,0,1,2,0,1,2,1,Central Manchester University Hospitals
RQM,T,FT,London,Chelsea & Westminster Hospital,0,1,0,0,2,1,1,3,1,0,1,0,0,Chelsea & Westminster Hospital
RFS,M,FT,East Midlands,Chesterfield Royal Hospital,1,0,1,1,0,0,0,0,1,1,1,1,0,Chesterfield Royal Hospital
RBV,Sp,FT,North West,Christie Hospital,1,0,1,0,0,0,0,1,0,0,0,0,0,Christie Hospital
RLN,L,FT,North East,City Hospitals Sunderland,1,4,1,2,1,2,1,1,1,2,1,4,0,City Hospitals Sunderland
,,,,,,,,,,,,,,,,,,
REN,Sp,FT,North West,Clatterbridge Centre for Oncology,0,0,0,0,0,0,0,0,0,0,0,0,0,Clatterbridge Centre for Oncology
RDE,M,FT,East of England,Colchester Hospital University,3,1,0,2,1,1,1,0,1,0,0,1,1,Colchester Hospital University
RJR,M,FT,North West,Countess of Chester Hospital,0,0,1,1,0,0,0,1,1,0,0,1,1,Countess of Chester Hospital
RXP,L,FT,North East,County Durham & Darlington,2,0,1,0,2,0,0,1,2,1,0,0,0,County Durham & Darlington
RN7,S,--,South East,Dartford & Gravesham,2,1,0,1,1,1,0,2,1,1,1,1,0,Dartford & Gravesham
,,,,,,,,,,,,,,,,,,
RTG,L,FT,East Midlands,Derby Hospitals,1,1,2,0,5,0,0,0,3,3,2,3,2,Derby Hospitals
RP5,L,FT,Yorkshire & the Humber,Doncaster & Bassetlaw Hospitals,2,0,1,0,2,1,2,1,1,0,4,0,0,Doncaster & Bassetlaw Hospitals
RBD,S,FT,South West,Dorset County Hospital,1,2,1,2,1,0,1,0,1,1,0,0,0,Dorset County Hospital
RC3,S,--,London,Ealing Hospital,1,3,2,0,3,1,0,0,2,1,0,0,1,Ealing Hospital
RWH,L,--,East of England,East & North Hertfordshire,2,1,0,0,1,0,1,1,2,1,2,0,1,East & North Hertfordshire
,,,,,,,,,,,,,,,,,,
RJN,S,--,North West,East Cheshire,1,0,0,0,0,1,2,0,1,1,2,1,1,East Cheshire
RVV,L,FT,South East,East Kent Hospitals University,3,1,2,1,2,1,3,0,0,2,0,2,1,East Kent Hospitals University
RXR,L,--,North West,East Lancashire Hospitals,4,1,3,4,1,1,3,2,1,1,0,1,0,East Lancashire Hospitals
RXC,L,--,South East,East Sussex Hospitals,1,2,0,0,0,3,1,2,0,0,0,0,0,East Sussex Hospitals
RVR,L,--,London,Epsom & St Helier University Hospitals,1,6,0,2,1,4,3,2,2,3,4,2,2,Epsom & St Helier University Hospitals
,,,,,,,,,,,,,,,,,,
RDU,M,FT,South East,Frimley Park Hospital,0,1,1,3,0,1,0,0,1,0,2,1,0,Frimley Park Hospital
RR7,M,FT,North East,Gateshead Health,0,0,1,0,1,1,0,0,1,2,0,0,2,Gateshead Health
RLT,S,--,West Midlands,George Eliot Hospital,0,1,2,0,1,0,0,0,0,0,1,0,0,George Eliot Hospital
RTE,L,FT,South West,Gloucestershire Hospitals,1,1,0,1,0,3,3,2,1,1,0,3,2,Gloucestershire Hospitals
RP4,Sp(c),--,London,Great Ormond Street Hospital for Children,1,0,0,0,0,0,1,0,0,0,0,0,0,Great Ormond Street Hospital for Children
,,,,,,,,,,,,,,,,,,
RN3,M,FT,South West,Great Western Hospitals,2,1,1,1,0,0,1,2,1,0,0,0,1,Great Western Hospitals
RJ1,T,FT,London,Guy's & St. Thomas',1,3,2,1,2,0,0,2,0,4,0,1,1,Guy's & St. Thomas'
RCD,S,FT,Yorkshire & the Humber,Harrogate & District,2,0,0,0,1,2,0,3,1,1,1,0,0,Harrogate & District
RR1,L,FT,West Midlands,Heart of England,1,3,1,2,4,1,3,4,2,5,0,1,2,Heart of England
