DATASET_TITLE,National Statistics 2001 Area Classification of Local Authorities: Distance from Centroids,,,,,,FROM,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01
AREA_TYPE,Local Authority,,,,,,TO,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,Supergroup,Euclidean Distance from Supergroup Centroid,Group,Euclidean Distance from Group Centroid,Subgroup,Euclidean Distance from Subgroup Centroid
,,,,,,,MEASUREMENT_UNIT,Classification,Euclidean Distance,Classification,Euclidean Distance,Classification,Euclidean Distance
,,,,,,,STATISTICAL_UNIT,Areas,Distance,Areas,Distance,Areas,Distance
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
A,North East,,,00CH,Gateshead,,,7,2.66,7.11,1.64,7.11.20,2.27
A,North East,,,00CJ,Newcastle upon Tyne,,,1,3.92,1.1,2.72,1.1.1,2.72
A,North East,,,00CK,North Tyneside,,,7,2.85,7.11,1.86,7.11.21,2.05
A,North East,,,00CL,South Tyneside,,,7,4.27,7.11,2.48,7.11.20,2.92
A,North East,,,00CM,Sunderland,,,7,1.7,7.11,1.12,7.11.20,1.28
A,North East,,,00EB,Hartlepool,,,7,2.26,7.11,1.66,7.11.20,1.17
A,North East,,,00EC,Middlesbrough,,,7,5.13,7.11,4.38,7.11.20,3.72
A,North East,,,00EE,Redcar and Cleveland,,,7,1.44,7.11,1.75,7.11.20,1.54
A,North East,,,00EF,Stockton-on-Tees,,,7,1.31,7.12,1.42,7.12.22,1.47
A,North East,,,00EH,Darlington,,,7,1.59,7.11,1.86,7.11.20,1.97
A,North East,20,Durham,20UB,Chester-le-Street,,,7,1.68,7.12,2.06,7.12.22,1.84
A,North East,20,Durham,20UD,Derwentside,,,7,2.1,7.11,1.65,7.11.20,1.35
A,North East,20,Durham,20UE,Durham,,,5,8.69,5.7,8.1,5.7.12,5.12
A,North East,20,Durham,20UF,Easington,,,7,4.34,7.11,3.6,7.11.20,2.91
A,North East,20,Durham,20UG,Sedgefield,,,7,2.65,7.11,2.38,7.11.20,2.19
A,North East,20,Durham,20UH,Teesdale,,,6,4.12,6.10,4.12,6.10.17,3.34
A,North East,20,Durham,20UJ,Wear Valley,,,7,3.04,7.11,2.66,7.11.20,2.22
A,North East,35,Northumberland,35UB,Alnwick,,,6,2.31,6.10,2.31,6.10.17,2.55
A,North East,35,Northumberland,35UC,Berwick-upon-Tweed,,,6,4.3,6.10,4.3,6.10.17,4.04
A,North East,35,Northumberland,35UD,Blyth Valley,,,7,0.93,7.12,1.7,7.12.22,1.36
A,North East,35,Northumberland,35UE,Castle Morpeth,,,5,4.93,5.7,3.86,5.7.13,3.07
A,North East,35,Northumberland,35UF,Tynedale,,,5,4.47,5.7,3.32,5.7.13,2.13
A,North East,35,Northumberland,35UG,Wansbeck,,,7,3.03,7.11,2.03,7.11.20,2.17
B,North West,,,00BL,Bolton,,,1,3.14,1.2,1.72,1.2.2,0.77
B,North West,,,00BM,Bury,,,5,3.28,5.7,3.65,5.7.12,2.1
B,North West,,,00BN,Manchester,,,1,9.81,1.2,11.94,1.2.3,5.57
B,North West,,,00BP,Oldham,,,1,5.38,1.2,2.04,1.2.2,1.35
B,North West,,,00BQ,Rochdale,,,1,4.58,1.2,2.18,1.2.2,1.38
B,North West,,,00BR,Salford,,,1,3.12,1.1,2.59,1.1.1,2.59
B,North West,,,00BS,Stockport,,,5,1.95,5.7,2.18,5.7.12,0.82
B,North West,,,00BT,Tameside,,,7,1.86,7.11,1.98,7.11.20,2.12
B,North West,,,00BU,Trafford,,,5,3.23,5.7,4.02,5.7.12,1.69
B,North West,,,00BW,Wigan,,,7,1.22,7.12,1.06,7.12.22,0.89
B,North West,,,00BX,Knowsley,,,7,7.79,7.11,6.48,7.11.20,5.67
B,North West,,,00BY,Liverpool,,,1,9.46,1.1,8.7,1.1.1,8.7
B,North West,,,00BZ,St. Helens,,,7,1.41,7.11,1.64,7.11.20,1.21
B,North West,,,00CA,Sefton,,,7,4.02,7.11,3.87,7.11.20,3.96
B,North West,,,00CB,Wirral,,,7,3.41,7.11,2.78,7.11.20,2.54
B,North West,,,00ET,Halton,,,7,1.69,7.11,2.28,7.11.20,1.8
B,North West,,,00EU,Warrington,,,5,2,5.7,2.08,5.7.14,1.82
B,North West,,,00EX,Blackburn with Darwen,,,1,15.38,1.2,7.36,1.2.2,6.7
B,North West,,,00EY,Blackpool,,,6,12.3,6.10,12.3,6.10.18,8.13
B,North West,13,Cheshire,13UB,Chester,,,5,2.21,5.7,2.12,5.7.12,1.53
B,North West,13,Cheshire,13UC,Congleton,,,5,1.58,5.7,1.31,5.7.14,1.22
B,North West,13,Cheshire,13UD,Crewe and Nantwich,,,5,2.05,5.7,1.49,5.7.14,2.02
B,North West,13,Cheshire,13UE,Ellesmere Port & Neston,,,7,1.65,7.12,1,7.12.22,0.86
B,North West,13,Cheshire,13UG,Macclesfield,,,5,1.95,5.7,1.86,5.7.13,2.15
B,North West,13,Cheshire,13UH,Vale Royal,,,5,1.43,5.7,1.25,5.7.14,0.93
B,North West,16,Cumbria,16UB,Allerdale,,,6,2.28,6.10,2.28,6.10.18,3.08
B,North West,16,Cumbria,16UC,Barrow-in-Furness,,,7,7.16,7.11,6.98,7.11.20,5.58
B,North West,16,Cumbria,16UD,Carlisle,,,6,3.3,6.10,3.3,6.10.18,3.28
B,North West,16,Cumbria,16UE,Copeland,,,7,3.1,7.11,3.42,7.11.20,3.51
B,North West,16,Cumbria,16UF,Eden,,,6,5.45,6.10,5.45,6.10.17,4.36
B,North West,16,Cumbria,16UG,South Lakeland,,,6,3.69,6.10,3.69,6.10.17,2.86
B,North West,30,Lancashire,30UD,Burnley,,,1,7.5,1.2,4.38,1.2.2,2.14
B,North West,30,Lancashire,30UE,Chorley,,,5,1.78,5.7,1.36,5.7.14,1.47
B,North West,30,Lancashire,30UF,Fylde,,,6,4.28,6.10,4.28,6.10.17,4.09
B,North West,30,Lancashire,30UG,Hyndburn,,,1,7.97,1.2,4.77,1.2.2,2.23
B,North West,30,Lancashire,30UH,Lancaster,,,1,5.72,1.1,3.8,1.1.1,3.8
B,North West,30,Lancashire,30UJ,Pendle,,,1,10.07,1.2,4.59,1.2.2,2.37
B,North West,30,Lancashire,30UK,Preston,,,1,2.51,1.2,1.99,1.2.2,1.79
B,North West,30,Lancashire,30UL,Ribble Valley,,,5,2.91,5.7,2.07,5.7.13,2.02
B,North West,30,Lancashire,30UM,Rossendale,,,7,2.29,7.12,2.57,7.12.22,2.64
B,North West,30,Lancashire,30UN,South Ribble,,,5,2.35,5.7,1.87,5.7.14,1.76
B,North West,30,Lancashire,30UP,West Lancashire,,,5,2.45,5.7,1.89,5.7.12,1.94
B,North West,30,Lancashire,30UQ,Wyre,,,6,2.16,6.10,2.16,6.10.17,2.48
D,Yorkshire and The Humber,,,00CC,Barnsley,,,7,1.27,7.12,1.69,7.12.22,1.47
D,Yorkshire and The Humber,,,00CE,Doncaster,,,7,2.03,7.12,1.99,7.12.22,1.73
D,Yorkshire and The Humber,,,00CF,Rotherham,,,7,1.21,7.12,1.1,7.12.22,0.89
D,Yorkshire and The Humber,,,00CG,Sheffield,,,1,2.12,1.1,2.87,1.1.1,2.87
D,Yorkshire and The Humber,,,00CX,Bradford,,,1,8.4,1.2,3.2,1.2.2,3.12
D,Yorkshire and The Humber,,,00CY,Calderdale,,,1,4.71,1.2,5.12,1.2.2,3.2
D,Yorkshire and The Humber,,,00CZ,Kirklees,,,1,4.25,1.2,2.19,1.2.2,1.29
D,Yorkshire and The Humber,,,00DA,Leeds,,,1,1.82,1.1,2.9,1.1.1,2.9
D,Yorkshire and The Humber,,,00DB,Wakefield,,,7,1.58,7.12,1.55,7.12.22,1.2
